session_id,label,idx,loop_r_ohm,mq2_raw,temp_c,humidity_pct
tobacco_05,tobacco,22,265.9,10139,28.5,69.1
tobacco_05,tobacco,23,265.9,10208,28.5,68.8
tobacco_05,tobacco,24,265.9,10297,28.5,68.5
tobacco_06,tobacco,0,267.3,9084,28.5,69.2
tobacco_06,tobacco,1,267.4,9053,28.5,68.6
tobacco_06,tobacco,2,267.3,9034,28.5,68.5
tobacco_06,tobacco,3,267.3,9298,28.5,68.3
tobacco_06,tobacco,4,267.3,9422,28.5,69.9
tobacco_06,tobacco,5,267.3,9349,28.5,70.3
tobacco_06,tobacco,6,267.4,9431,28.5,70.3
tobacco_06,tobacco,7,267.3,9445,28.5,71.0
tobacco_06,tobacco,8,267.3,9629,28.5,71.9
tobacco_06,tobacco,9,267.2,9687,28.5,71.6
tobacco_06,tobacco,10,267.2,10100,28.5,72.2
tobacco_06,tobacco,11,267.2,10011,28.5,72.8
tobacco_06,tobacco,12,267.1,9901,28.5,72.2
tobacco_06,tobacco,13,267.1,10266,28.5,70.9
tobacco_06,tobacco,14,267.1,10291,28.4,72.6
tobacco_06,tobacco,15,267.1,10347,28.4,72.4
tobacco_06,tobacco,16,267.2,10212,28.4,72.4
tobacco_06,tobacco,17,267.3,10197,28.4,72.5
tobacco_06,tobacco,18,267.2,10065,28.4,72.1
tobacco_06,tobacco,19,267.3,10150,28.4,71.4
tobacco_06,tobacco,20,267.3,10071,28.4,70.9
tobacco_06,tobacco,21,267.3,10105,28.4,70.6
tobacco_06,tobacco,22,267.2,10055,28.4,71.4
tobacco_07,tobacco,0,267.2,9045,28.2,69.3
tobacco_07,tobacco,1,267.1,9286,28.2,69.3
tobacco_07,tobacco,2,267.2,9346,28.2,69.4
tobacco_07,tobacco,3,267.2,9452,28.2,70.0
tobacco_07,tobacco,4,267.2,9373,28.2,70.8
tobacco_07,tobacco,5,267.2,9420,28.2,70.6
tobacco_07,tobacco,6,267.1,9381,28.2,70.8
tobacco_07,tobacco,7,267.1,9853,28.2,70.9
tobacco_07,tobacco,8,267.1,9790,28.2,71.6
tobacco_07,tobacco,9,267.1,9881,28.1,71.6
tobacco_07,tobacco,10,267.1,9803,28.1,72.0
tobacco_07,tobacco,11,267.1,9891,28.2,71.5
tobacco_07,tobacco,12,267.1,9928,28.2,72.2
tobacco_07,tobacco,13,267.1,9867,28.1,71.8
tobacco_07,tobacco,14,267.1,10038,28.2,72.8
tobacco_07,tobacco,15,267.1,10031,28.1,72.4
tobacco_07,tobacco,16,267.0,10111,28.1,72.2
tobacco_07,tobacco,17,267.1,10031,28.1,71.8
tobacco_07,tobacco,18,267.1,10066,28.1,71.6
tobacco_07,tobacco,19,267.0,10015,28.1,71.1
tobacco_07,tobacco,20,267.1,10157,28.1,70.8
tobacco_07,tobacco,21,267.0,10096,28.1,71.5
tobacco_07,tobacco,22,267.0,10278,28.1,71.3
tobacco_07,tobacco,23,267.0,10317,28.1,72.0
tobacco_07,tobacco,24,267.0,10375,28.1,72.1
tobacco_07,tobacco,25,267.0,10304,28.1,71.7
tobacco_08,tobacco,0,266.9,9101,28.1,69.2
tobacco_08,tobacco,1,266.9,9070,28.1,69.6
tobacco_08,tobacco,2,266.9,9049,28.1,69.4
tobacco_08,tobacco,3,266.9,9031,28.1,69.3
tobacco_08,tobacco,4,266.7,9083,28.1,69.3
tobacco_08,tobacco,5,266.7,9066,28.1,70.6
tobacco_08,tobacco,6,266.7,9391,28.1,70.8
tobacco_08,tobacco,7,266.7,9439,28.1,71.5
tobacco_08,tobacco,8,266.8,9435,28.1,72.3
tobacco_08,tobacco,9,266.7,9462,28.1,72.8
tobacco_08,tobacco,10,266.7,9718,28.1,72.1
tobacco_08,tobacco,11,266.7,9770,28.1,72.5
tobacco_08,tobacco,12,266.8,10226,28.1,72.3
tobacco_08,tobacco,13,266.8,10252,28.1,73.1
tobacco_08,tobacco,14,266.8,10447,28.1,72.7
tobacco_08,tobacco,15,266.8,10388,28.1,73.2
tobacco_08,tobacco,16,266.8,10447,28.1,72.8
tobacco_08,tobacco,17,266.8,10367,28.1,72.5
tobacco_08,tobacco,18,266.8,10438,28.1,72.1
tobacco_08,tobacco,19,266.9,10352,28.1,72.4
tobacco_08,tobacco,20,266.8,10366,28.1,72.5
tobacco_08,tobacco,21,266.8,10342,28.1,72.7
tobacco_08,tobacco,22,266.8,10422,28.1,72.7
tobacco_08,tobacco,23,266.8,10401,28.1,73.0
tobacco_08,tobacco,24,266.7,10493,28.1,72.8
tobacco_08,tobacco,25,266.7,10497,28.1,73.8
tobacco_08,tobacco,26,266.7,10607,28.1,73.2
tobacco_08,tobacco,27,266.6,10545,28.1,73.3
tobacco_09,tobacco,0,267.3,8901,28.1,69.9
